person_name,score
Nick Smith,0.15000000000000002
Bill Luther,0.15000000000000002
Mark Sanford,0.15000000000000002
Steven T. Kuykendall,0.15000000000000002
Jim Nussle,0.15000000000000002
Xavier Becerra,0.15000000000000002
Charles W. Stenholm,0.15000000000000002
Doug Ose,0.15000000000000002
Bob Clement,0.15000000000000002
Richard A. Gephardt,0.15000000000000002
Karen McCarthy,0.15000000000000002
Asa Hutchinson,0.15000000000000002
Donna M. Christensen,0.15000000000000002
Bill Barrett,0.15000000000000002
Ken Bentsen,0.15000000000000002
Henry Bonilla,0.15000000000000002
Kevin Brady,0.15000000000000002
Charles T. Canady,0.15000000000000002
Gary A. Condit,0.15000000000000002
Calvin M. Dooley,0.15000000000000002
Chet Edwards,0.15000000000000002
Tillie Fowler,0.15000000000000002
David L. Hobson,0.15000000000000002
Matthew G. Martinez,0.15000000000000002
Ron Packard,0.15000000000000002
Carlos A. Romero-Barcelo,0.15000000000000002
"John M. Spratt, Jr.",0.15000000000000002
James A. Traficant Jr.,0.15000000000000002
Curt Weldon,0.15000000000000002
Christopher Cox,0.15000000000000002
Collin C. Peterson,0.15000000000000002
Charles H. Taylor,0.15000000000000002
James E. Rogan,0.15000000000000002
Pat Danner,0.15000000000000002
Katherine Harris,0.15000000000000002
Thomas E. Petri,0.15000000000000002
"John J.H. ""Joe"" Schwarz",0.15000000000000002
Nancy L. Johnson,0.15000000000000002
Jo Ann Davis,0.15000000000000002
Rick Boucher,0.15000000000000002
Jean Schmidt,0.15000000000000002
Tim Griffin,0.15000000000000002
Bill Shuster,0.15000000000000002
Allen B. West,0.15000000000000002
John Fleming,0.15000000000000002
E. Scott Rigell,0.15000000000000002
Mike Coffman,0.15000000000000002
Jon Runyan,0.15000000000000002
Joseph J. Heck,0.15000000000000002
Steven M. Palazzo,0.15000000000000002
Mo Brooks,0.15000000000000002
Aaron Schock,0.15000000000000002
Martha Roby,0.15000000000000002
Jim Talent,0.15000000000000002
Ed Case,0.15000000000000002
Gerald E. Connolly,0.15000000000000002
Laura Richardson,0.15000000000000002
G. K. Butterfield,0.15000000000000002
Gregorio Kilili Camacho Sablan,0.15000000000000002
Bob Gibbs,0.15000000000000002
Steve Stivers,0.15000000000000002
Kathleen C. Hochul,0.15000000000000002
Paul C. Broun,0.15000000000000002
Patrick Meehan,0.15000000000000002
Bill Posey,0.15000000000000002
Mick Mulvaney,0.15000000000000002
Cynthia M. Lummis,0.15000000000000002
Bill Flores,0.15000000000000002
